Title,Body,User_login,Author_association,Label_name_list,State,Created_at,Comments,Comments_url,Html_url,Id,Url,Repository_url,User_url,User_id,User_html_url,repo_id,repo_name,repo_html_url,repo_description,repo_fork,repo_created_at,repo_updated_at,repo_forks,repo_stars,repo_language,user_created_at,user_updated_at,user_followers,user_public_repos,bio
Apply CSS first then jQuery on tabs?,"My tabs seems to be slow loading - I have two tabs and it shows the UL first and then a few seconds later, the CSS is apply.

This is a similar issue for the jQuery UI tab:
http://stackoverflow.com/questions/1507378/jquery-ui-tabs-loading-first-as-ul-then-as-tabs

How do I modify Easytabs such that the CSS are loaded first - that way my visitors don't see a long vertical list?
",statcode,NONE,None,closed,2012-06-07T16:32:19Z,0,https://api.github.com/repos/JangoSteve/jQuery-EasyTabs/issues/54/comments,https://github.com/JangoSteve/jQuery-EasyTabs/issues/54,4953781,https://api.github.com/repos/JangoSteve/jQuery-EasyTabs/issues/54,https://api.github.com/repos/JangoSteve/jQuery-EasyTabs,https://api.github.com/users/statcode,1095925,https://github.com/statcode,858349,jQuery-EasyTabs,https://github.com/JangoSteve/jQuery-EasyTabs,Easy and flexible jQuery tabbed functionality without all the styling.,FALSE,2010-08-24T04:37:49Z,2020-07-01T02:50:42Z,215,564,JavaScript,2011-10-02T02:46:22Z,2020-06-30T17:00:10Z,3,15,
Improve netcdf_profile::fill_missing(),"Filling in missing sea temperature values with average values creates undesireable discontinuities in the slope of the profile.  We need a better algorithm for extending these profiles to the bottom of the ocean.

Discovered while extracting Florida Straits WOA data near 26N 80W (around 250 meters deep).  Data to the west is in shallow water and it gets deeper to the east.  But the average temperature in the east is also higher, because of the presence of the Gulf Stream.  The causes points at the bottom of the shallow profiles to suddenly jump to higher temperatures when they are extended.
",campreilly,OWNER,bug/,closed,2012-06-07T14:01:34Z,4,https://api.github.com/repos/campreilly/UnderSeaModelingLibrary/issues/26/comments,https://github.com/campreilly/UnderSeaModelingLibrary/issues/26,4950560,https://api.github.com/repos/campreilly/UnderSeaModelingLibrary/issues/26,https://api.github.com/repos/campreilly/UnderSeaModelingLibrary,https://api.github.com/users/campreilly,1370874,https://github.com/campreilly,3640368,UnderSeaModelingLibrary,https://github.com/campreilly/UnderSeaModelingLibrary,The Under Sea Modeling Library (USML) is a collection of C++ software development modules for sonar modeling and simulation.,FALSE,2012-03-06T17:08:24Z,2020-04-29T12:10:54Z,14,22,C++,2012-01-23T13:18:09Z,2020-05-04T13:48:48Z,8,3,
Add configuration file,"Separate config files for jetty and heroku.
- Database config
- Max thread count
- Max items per response
- Tracker API authentication on/off?

Some way to use configuration when running .war file in another appserver like Tomcat?
",jsyrjala,CONTRIBUTOR,Feature/,closed,2012-06-10T11:48:40Z,1,https://api.github.com/repos/ruuvi/ruuvitracker_server/issues/19/comments,https://github.com/ruuvi/ruuvitracker_server/issues/19,4990956,https://api.github.com/repos/ruuvi/ruuvitracker_server/issues/19,https://api.github.com/repos/ruuvi/ruuvitracker_server,https://api.github.com/users/jsyrjala,25238,https://github.com/jsyrjala,3165680,ruuvitracker_server,https://github.com/ruuvi/ruuvitracker_server,RuuviTracker Server,FALSE,2012-01-12T20:51:29Z,2019-10-30T12:17:05Z,9,24,Clojure,2008-09-18T19:57:57Z,2020-06-16T05:29:09Z,15,87,
Request: add ability to specify type bound,"I'd like the ability to specify a type that is used when binding values to Kendo controls. For example, if I have a DropDownList with ""true"" and ""false"" as options, I'd like the the underlying view model to store these as booleans. I can do this with a custom binding such as the one discussed in the answer here: http://stackoverflow.com/questions/10510683/knockoutjs-version-2-1-0-bind-boolean-value-to-select-box

Obviously since I'm using the Knockout - Kendo bindings, this is more difficult. Any thoughts on how this might best be integrated into the Kendo bindings?

Thanks
",BrianVallelunga,NONE,None,closed,2012-06-04T14:37:23Z,1,https://api.github.com/repos/kendo-labs/knockout-kendo/issues/11/comments,https://github.com/kendo-labs/knockout-kendo/issues/11,4889416,https://api.github.com/repos/kendo-labs/knockout-kendo/issues/11,https://api.github.com/repos/kendo-labs/knockout-kendo,https://api.github.com/users/BrianVallelunga,351190,https://github.com/BrianVallelunga,3757055,knockout-kendo,https://github.com/kendo-labs/knockout-kendo,A project to create a robust set of Knockout.js bindings for the Kendo UI widgets.,FALSE,2012-03-18T18:35:35Z,2020-06-13T14:18:28Z,155,278,JavaScript,2010-08-02T02:45:39Z,2020-05-27T21:10:29Z,3,7,
remove self made input dialogs,"There have been additions to the code which use self made dialogs just for very small input (using a text view or checkboxes and so on). Those dialogs don't fit the remaining visual appearance and are not the recommended way of implementing this in Android. Instead we should use an alert builder with a custom view:

http://developer.android.com/reference/android/app/AlertDialog.html#setView(android.view.View, int, int, int, int)
http://stackoverflow.com/questions/9763643/how-to-add-a-check-box-to-an-alert-dialog
",Bananeweizen,MEMBER,Refactoring/,closed,2012-06-17T07:36:45Z,8,https://api.github.com/repos/cgeo/cgeo/issues/1791/comments,https://github.com/cgeo/cgeo/issues/1791,5110743,https://api.github.com/repos/cgeo/cgeo/issues/1791,https://api.github.com/repos/cgeo/cgeo,https://api.github.com/users/Bananeweizen,406876,https://github.com/Bananeweizen,2028724,cgeo,https://github.com/cgeo/cgeo,c:geo - The powerful Android geocaching app.,FALSE,2011-07-11T06:02:47Z,2020-07-01T10:37:17Z,506,1025,Java,2010-09-19T09:56:02Z,2020-06-19T09:56:03Z,32,69,Passionate open source developer with strong opinions about clean code.
return*() method for mocks allowing to specify call to parent method,"I suggest adding a return*() method like returnCallback(), but that calls parent method (i.e. actual method of the class being mocked) of the class, with all the parameters. Example of use case for it is here:
http://stackoverflow.com/q/10924398/214196
and it looks like Phake framework has method that does exactly that: http://phake.digitalsandwich.com/docs/html/ch04s02.html

Maybe PHPUnit mocking framework should have one too? It should not be hard to do, all the information is there in $invocation object, just no return*() methods and implementing classes do exactly that. 
",smalyshev,NONE,None,closed,2012-06-08T00:51:19Z,2,https://api.github.com/repos/sebastianbergmann/phpunit/issues/585/comments,https://github.com/sebastianbergmann/phpunit/issues/585,4962614,https://api.github.com/repos/sebastianbergmann/phpunit/issues/585,https://api.github.com/repos/sebastianbergmann/phpunit,https://api.github.com/users/smalyshev,155000,https://github.com/smalyshev,448045,phpunit,https://github.com/sebastianbergmann/phpunit,The PHP Unit Testing framework.,FALSE,2009-12-24T13:16:23Z,2020-07-01T23:40:40Z,1904,16334,PHP,2009-11-18T19:22:25Z,2020-07-01T18:07:22Z,137,63,
wrong header location for pthreads-headers (while building quake3),"while compiling quake3 on the raspbian distrib i encountered build errors due to a missing vcos_platform_types.h / vcos_platform.h

first fix was in opt/vc/include/interface/vcos/vcos_types.h:
- \- #include ""vcos_platform_types.h""
- \+ #include ""pthreads/vcos_platform_types.h""

second fix would be in all the opt/vc/include/interface/vcos/vcos*.h:
- \- #include ""vcos_platform.h""
- \+ #include ""pthreads/vcos_platform.h""

but being the lazy fool that i am i just copied the files from the pthreads subfolder there, after noticing that grep gave me to many files to fix that in :-P

i guess this would be just a very dirty fix because noone else reported it yet, and so might even be fixed by some makefile magic or the like in the quake3 repository? i can't imagine this problem to be a global one, probably also just tied to quake3+raspbian?
(i use the raspbian-r3.img from hexxeh)

anyways, with the above mentioned actions quake3 builds again...
",MarshallBanana0815,NONE,None,closed,2012-06-07T12:40:10Z,16,https://api.github.com/repos/raspberrypi/firmware/issues/34/comments,https://github.com/raspberrypi/firmware/issues/34,4949261,https://api.github.com/repos/raspberrypi/firmware/issues/34,https://api.github.com/repos/raspberrypi/firmware,https://api.github.com/users/MarshallBanana0815,1826602,https://github.com/MarshallBanana0815,3565909,firmware,https://github.com/raspberrypi/firmware,"This repository contains pre-compiled binaries of the current Raspberry Pi  kernel and modules, userspace libraries, and bootloader/GPU firmware.",FALSE,2012-02-27T23:06:53Z,2020-07-01T21:26:28Z,1283,3604,C,2012-06-07T11:30:37Z,2015-03-13T10:20:57Z,0,0,
Problem with :cocomake,"Hi,

It looks like the :CocoMake command is not working, because `coco` (in the CLI) already appends .co, which breaks since the file name already contains it.
",vendethiel,NONE,None,closed,2012-06-27T10:32:35Z,6,https://api.github.com/repos/satyr/vim-coco/issues/1/comments,https://github.com/satyr/vim-coco/issues/1,5294156,https://api.github.com/repos/satyr/vim-coco/issues/1,https://api.github.com/repos/satyr/vim-coco,https://api.github.com/users/vendethiel,199499,https://github.com/vendethiel,1740503,vim-coco,https://github.com/satyr/vim-coco,Coco support for vim,TRUE,2011-05-12T21:14:31Z,2017-05-23T02:16:43Z,1,9,VimL,2010-02-08T12:55:13Z,2020-06-28T21:09:32Z,228,231,
Added SOCKS5 proxy support in preferences,"Add SOCKS5 proxy support, as suggested by Haley Amlin, Gary Rowe as follows:

> http://stackoverflow.com/a/120818/396747):
> 
> if (needsProxy()) {
>                 System.getProperties().put(""proxySet"", ""true"");
>                 System.getProperties().put(""proxyHost"", getProxyHost());
>                 System.getProperties().put(""proxyPort"", getProxyPort());
>         } else {
>                 System.getProperties().put(""proxySet"", ""false"");
>                 System.getProperties().put(""proxyHost"", """");
>                 System.getProperties().put(""proxyPort"", """");
>         }
> 
> > > java -jar -Dhttp.proxyHost=127.0.0.1 -Dhttp.proxyPort=8123
> > > multibit-exe.jar
",jim618,CONTRIBUTOR,feature request/,closed,2012-06-14T15:16:20Z,5,https://api.github.com/repos/Multibit-Legacy/multibit/issues/35/comments,https://github.com/Multibit-Legacy/multibit/issues/35,5072641,https://api.github.com/repos/Multibit-Legacy/multibit/issues/35,https://api.github.com/repos/Multibit-Legacy/multibit,https://api.github.com/users/jim618,919427,https://github.com/jim618,2057742,multibit,https://github.com/Multibit-Legacy/multibit,Deprecated Bitcoin Wallet,FALSE,2011-07-16T12:03:59Z,2020-06-18T17:14:57Z,315,371,Java,2011-07-16T12:01:34Z,2019-09-17T08:54:06Z,98,4,
Process.kill does not always kill child processes on MacOS,"There are multiple reports of this happening.  Make a reproducible example, and debug.
",whesse,MEMBER,area-library/closed-cannot-reproduce/library-io/os-osx/,closed,2012-06-14T14:51:11Z,3,https://api.github.com/repos/dart-lang/sdk/issues/3637/comments,https://github.com/dart-lang/sdk/issues/3637,84510681,https://api.github.com/repos/dart-lang/sdk/issues/3637,https://api.github.com/repos/dart-lang/sdk,https://api.github.com/users/whesse,4905639,https://github.com/whesse,35726310,sdk,https://github.com/dart-lang/sdk,"The Dart SDK, including the VM, dart2js, core libraries, and more.",FALSE,2015-05-16T14:14:58Z,2020-07-02T01:40:35Z,779,5573,Dart,2013-07-01T12:28:52Z,2020-05-28T10:09:55Z,28,8,
